Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-07-14,2016,7,14,Thursday,28,2016-28,91.32,91.65,90.51,91.45,4240100,88.33,0.012286882857839299,86.27928571428572,90.6054
2016-07-15,2016,7,15,Friday,28,2016-28,92.03,92.03,90.72,90.93,3262400,87.82,-0.0056859225499384936,86.255,90.50659999999999
2016-07-18,2016,7,18,Monday,29,2016-29,91.18,91.64,90.84,91.6,3407300,88.47,0.0073682853514640545,86.44285714285715,90.4218
2016-07-19,2016,7,19,Tuesday,29,2016-29,91.21,92.41,91.21,92.38,3423800,89.23,0.008515217208148185,86.59214285714286,90.34279999999998
2016-07-20,2016,7,20,Wednesday,29,2016-29,92.56,93.44,92.15,93.3,3794100,90.11,0.009959020686323372,86.68642857142856,90.2806
2016-07-21,2016,7,21,Thursday,29,2016-29,93.0,93.67,92.03,92.46,4305900,89.3,-0.009003254907654856,87.00285714285714,90.18459999999999
2016-07-22,2016,7,22,Friday,29,2016-29,92.66,93.66,92.11,93.66,4348200,90.46,0.012978752596955134,87.34785714285714,90.13539999999999
2016-07-25,2016,7,25,Monday,30,2016-30,93.6,93.6,92.54,93.0,3773500,89.82,-0.007046825028078407,87.68928571428572,90.0842
2016-07-26,2016,7,26,Tuesday,30,2016-30,92.78,93.67,92.75,93.43,4469600,90.24,0.004623636451507762,88.145,90.0508
2016-07-27,2016,7,27,Wednesday,30,2016-30,93.53,94.3,92.75,93.75,5696800,90.55,0.00342496647531898,88.55499999999999,90.0084
2016-07-28,2016,7,28,Thursday,30,2016-30,95.0,96.5,94.56,96.01,5209400,92.73,0.02410661015339688,89.06857142857143,90.0202
2016-07-29,2016,7,29,Friday,30,2016-30,96.07,96.1,95.12,95.24,4364100,91.99,-0.008019930776079098,89.51642857142858,90.0166
2016-08-01,2016,8,1,Monday,31,2016-31,95.23,95.47,94.45,95.07,3512100,91.82,-0.0017850224819774274,89.86571428571429,90.0276
2016-08-02,2016,8,2,Tuesday,31,2016-31,95.03,95.39,94.5,95.25,3948600,92.0,0.0018933204846440788,90.20500000000001,90.0274
2016-08-03,2016,8,3,Wednesday,31,2016-31,95.07,95.45,94.78,95.08,3006100,91.83,-0.001784669358487645,90.455,90.03120000000001
2016-08-04,2016,8,4,Thursday,31,2016-31,95.09,96.05,94.8,95.91,2875600,92.63,0.008729526011038269,90.79857142857144,90.02420000000001
